load_type,file_name,i_max,i_pp,P,i_pp_ratio,i_pp_rms,i_wave_factor,P_F,i_thd,low_hd,i_hm0/i_hm1,i_hm2/i_hm1,i_hm3/i_hm1,i_hm4/i_hm1,i_hm5/i_hm1,i_hm6/i_hm1,i_hm7/i_hm1,i_hp1,i_hp2,i_hp3,i_hp4,i_hp5,i_hp6,i_hp7
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.014478978205074643,0.028633220836704075,0.1110310632199346,1.0229426315414112,6.764684513560133,1.3558453554296395,0.11184507440128066,0.3524801456920338,0.05950220224401742,1.2668164507207356,0.10348508665547784,0.06004613066632875,0.037857383579685384,0.08147608347268549,0.08394241552715463,0.04276280739414098,300.8166837585478,291.97580715702384,175.04761163704856,105.95053389442572,170.89380802918654,196.21270510280863,123.55440490536631
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.014478978205074643,0.028633220836704075,0.10524826263216566,1.0229426315414112,6.731778492651677,1.3570850763966376,0.10529523202833886,0.3499129034280172,0.05001084441452733,1.3878770505674798,0.04096264911740665,0.039834588687593056,0.10565118661353061,0.059796302657209595,0.007026741493116162,0.03842121538701418,300.37032141545814,287.1915634131816,80.13650291671202,97.48247351930254,138.2684285303492,0.6007972226674254,124.8971667798846
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.014478978205074643,0.028633220836704075,0.119602477709905,1.0229426315414112,6.706149717077383,1.3537421144323578,0.11948135714182809,0.32490232109780126,0.058843683354647465,1.3751891307020725,0.04311863836864373,0.0656756198565693,0.03587402625797831,0.07999337130051631,0.06140057665298638,0.01999738950681025,303.11860504661735,261.0748278386386,21.942352233976294,36.79933695876076,159.07159341098296,345.7076752840519,138.53695635778092
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.018058130796795645,0.032212373428425076,0.12939442183483535,1.275810459575031,7.5997203881904545,1.3555970280078176,0.13017576868198671,0.3459792197495353,0.053136761470078085,1.3414577318327474,0.06200266779111499,0.06379621338607953,0.04913802960182795,0.0736092623790814,0.06902833809686758,0.039532189974417216,305.89778757475,288.14382332937294,47.83567792837982,299.353719516659,146.38716373893067,234.09823524463218,213.6579336182399
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.018058130796795645,0.032212373428425076,0.12863094541141462,1.275810459575031,7.609878900468787,1.3599137127163465,0.1293814240613802,0.30654213668089786,0.061948015455501236,1.2390157579405874,0.02608705501713004,0.010737953376944455,0.06189567804997753,0.10230628187664202,0.0717914480269353,0.038934342270154944,305.14040191246784,318.7111569145909,71.31232733411667,277.3578050735372,105.02785247093334,179.75779210981648,224.15482655451547
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.018058130796795645,0.032212373428425076,0.1157456673313413,1.275810459575031,7.6129992481797935,1.3614065156775574,0.11679177618925372,0.3489430162219793,0.058413311718877,1.3135909535227814,0.15457127811994623,0.022778557042758708,0.01776347643110753,0.06372575482604605,0.024065480934170335,0.025936344655541305,302.3072878523458,333.55747414610994,342.1899244920073,151.69649751561548,117.05478267162044,278.1384532033054,303.1504284641619
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.018058130796795645,0.032212373428425076,0.1243182052922689,1.275810459575031,7.6210772249313115,1.3600898422027465,0.12536607903743194,0.3646822975267799,0.063666207436155,1.2072021612715613,0.1299686192136288,0.010093802445885558,0.031997965348972986,0.09982822644661216,0.062425310719196964,0.007271212440716982,303.02921077243246,324.3161222753249,3.0632598537455493,194.25258393716885,103.01721823514727,272.46629795301476,337.5661672802921
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.014478978205074643,0.028633220836704075,0.12270099500883107,1.0229426315414112,6.7923368581170696,1.3627403058066951,0.12396626454820978,0.3051227958229251,0.059797349894268326,1.2603244238050118,0.030235880545821544,0.020605993733676636,0.044478593238167656,0.09136412916672967,0.08266237216465115,0.09258061027605705,303.63555808156684,333.7702220545723,56.71403679200287,206.0449447896124,71.30112721026023,275.0431765891165,121.9859972919611
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.014478978205074643,0.028633220836704075,0.12764565363549651,1.0229426315414112,6.79153252141059,1.3641201483241672,0.12927446306481324,0.4034807974833307,0.06379731660838105,1.258481899332892,0.1183467763316865,0.11747487597271306,0.07965882041404419,0.08002209459529445,0.07113319351913833,0.13161826808906965,306.6413178877864,130.14615492560856,53.644246695910795,124.54400741268944,60.54560217863377,236.03229649188887,93.90106964997062
CoffeeMachine,CoffeeMachine_2016-07-27T08-22-40 series 300 plus_2,0.018058130796795645,0.032212373428425076,0.12184227466493326,1.275810459575031,7.6728554388678,1.3589759693343546,0.12361858985727282,0.4440947330606246,0.05460171404347345,1.1718981799141535,0.11013744447763976,0.07010350231163494,0.11572859426895142,0.046652865339171706,0.05387579465318557,0.13786626039655503,305.2706433746654,85.5636584665636,7.735555349300228,86.73392651896972,48.94262185952846,262.41069196355954,48.18109939489159
