file_name,P_bins,P,cluster1,cluster2,cluster3,cluster4,i_hm2/i_hm1,i_hm3/i_hm1,i_hm4/i_hm1,i_hm5/i_hm1,hf_2_1,hf_3_1,hf_4_1,hf_5_1,i_thd,P_F,Label,Is_test
AC_Electrolux_r5_MK2_20151031065948,3,330.3469481787933,0,0,0,2,0.06534644574768897,0.15073855447980927,0.022912698573620133,0.1673513622508528,0.6229650542182875,0.41132109829933233,-0.7590094528323252,0.11782873571860508,0.2702205472890952,0.957763761483016,AC,0
AC_Electrolux_r5_MK2_20151031070257,3,319.5815529480641,0,0,0,2,0.06801818934406227,0.15555055176798133,0.01846594934470853,0.17045054432538514,0.16241353616736567,0.10702820463773355,-0.7040179502227082,0.16845554721363723,0.2750360507568593,0.9528927290270268,AC,0
AC_Electrolux_r5_MK2_20151031070606,3,318.73692392797795,0,0,0,2,0.0561545717857164,0.1443626629130798,0.02178757061134944,0.15127257606029956,0.28338195470255506,0.5530368025884728,-0.9285055610970729,-0.30041853760943393,0.24167901289150506,0.9578881558246402,AC,0
AC_Electrolux_r5_MK2_20151031070919,3,336.0014983947726,0,0,0,2,0.055784394249116256,0.15172651254420844,0.015043632506701194,0.16296065756861575,0.9733277327438775,0.49310568882704603,-0.46553879792007236,-0.8800617701195811,0.2605475753979146,0.95746912472269,AC,0
AC_Electrolux_r5_MK2_20151031071229,3,337.9847564212863,0,0,0,2,0.07396002708323622,0.1512456638845962,0.022881590073151343,0.1657309733794601,-0.8934647903408525,-0.8238711958339034,-0.4071361215512424,-0.28975945111943835,0.2723890982133637,0.961374529499647,AC,0
AC_Electrolux_r5_MK2_20151031071715,3,336.66851817462015,0,0,0,2,0.08156339418706507,0.15073350308256084,0.02115342807505214,0.1600427583924052,0.9997020591714556,0.363973004268884,-0.8726503621755873,-0.9991344831301907,0.2678785973967946,0.9631931735230352,AC,0
AC_Electrolux_r5_MK2_20151031072145,3,321.06937331904635,0,0,0,2,0.07542477705703142,0.14902407279078292,0.02095488982997069,0.15956074215664512,-0.06836575751533484,0.39284851301406676,0.9540855601229776,-0.9375662078892111,0.26614136545659683,0.9637848296444512,AC,0
AC_Electrolux_r5_MK2_20151031072511,3,324.6116539196245,0,0,0,2,0.06283123598734745,0.14755423192101658,0.02386530105741668,0.1559029549643012,0.9607708004697574,0.4355262036196833,-0.29212719275344334,0.7503897069883457,0.2589343741622853,0.9673773668808646,AC,0
AC_Electrolux_r5_MK2_20151031072816,3,328.38180538974143,0,0,0,2,0.06982197491802351,0.15201771341453724,0.022299440932344438,0.16224785251443732,0.8111378145397152,-0.05992421508040366,0.6024045798656795,-0.46540079065778434,0.267409766560586,0.961327971814096,AC,0
AC_Electrolux_r5_MK2_20151031073129,3,324.5592100863505,0,0,0,2,0.07335881303657517,0.14972731389487667,0.016388117110360898,0.15646105845763353,0.9990761426482078,0.9834323564403552,-0.44210309941069054,0.26414034542169584,0.2613541572740514,0.9597184554626234,AC,0
AirPump_SimexHB-135C_r2_MK1_20160124164919,2,98.91660367434677,0,0,0,0,0.0013976899856605984,0.08227415097763636,0.00011081987149224732,0.017194777721008463,-0.5045443220189865,-0.27575020131108374,0.603207908095696,-0.7254830809566976,0.08495446962052294,0.9826943427975432,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165057,2,99.5529932531888,0,0,0,0,0.0015186305231455967,0.08240800824007015,0.0011374805395112171,0.01697536670650386,-0.30675372036101334,-0.8609589786316302,0.7318459874092905,0.8933363640127988,0.0850324278077179,0.9816033446898894,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165105,2,98.82686384768124,0,0,0,0,0.0012625552169354586,0.08191145751860132,0.0013351873299455993,0.01644148782286045,0.9975104721502563,-0.431204727542707,0.9879132078833259,-0.7330836267615484,0.08446093924443372,0.9813484035470827,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165115,2,98.45760321156128,0,0,0,0,0.0009452802995245744,0.08134780881616567,0.000799396799913362,0.0160385982772088,0.5621337929673338,-0.9999935530112857,-0.4281258552765312,-0.1632573352348792,0.08380131335010912,0.981586147273206,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165124,2,98.44260083229928,0,0,0,0,0.0008157744530447035,0.0831471825637253,0.0001972089500002361,0.015518028077112478,0.19167674542403118,-0.8894159054364481,0.8624590897316406,0.049016628043716134,0.08544446151421133,0.9811640527777148,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165133,2,97.94355803378929,0,0,0,0,0.0008962352727484264,0.0817130083957784,0.0009485496966409788,0.015547402375321259,0.5848516731323394,-0.7674303325287968,0.9940533939504592,-0.3452584164547016,0.08400910734514948,0.9813457844886307,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165144,2,97.31788613503281,0,0,0,0,0.0042511082940721355,0.08448720097932769,0.0006435757333270085,0.015582358261453919,0.2737117416293979,-0.1216685339832979,-0.7330167025456679,-0.7460437816417788,0.08677457553647239,0.9804279600124228,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165201,2,97.474723095926,0,0,0,0,0.0024699655395655678,0.08276601196115349,0.002675569538618592,0.017263794689900795,0.4035804993777128,-0.9943315937139384,0.8069827059232747,-0.5733133050866239,0.08560816039926819,0.9802830794502349,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165214,2,97.70790721570957,0,0,0,0,0.0008749537532163487,0.08160684883134611,0.0018164196785080125,0.01590934132312982,0.741926816453984,-0.6011322461398099,-0.3198293058656027,-0.7362676120369639,0.08395350195764703,0.9809042700275128,AirPump,0
AirPump_SimexHB-135C_r2_MK1_20160124165226,2,96.51130737884056,0,0,0,0,0.0008324839100375145,0.08142524034167384,0.0033313868769651394,0.015520324295157498,-0.869908458939556,-0.4566371878903124,0.7202693320414029,-0.9201046188067048,0.08392956621067807,0.98050990084591,AirPump,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052641,3,409.05692105296237,0,0,0,0,0.0058351099731226,0.03197130908085901,0.001777255142438259,0.010546589119421886,0.9019072953656156,0.8513611979917379,0.8819442383052504,0.8803249375466833,0.0392010593069451,0.9293087129236971,BenchGrinder,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052742,3,404.6214301154399,0,0,0,0,0.0030159625720276194,0.034100982710119104,0.0011601174318987926,0.01312007799194347,-0.8474770511373564,-0.6755982241220546,0.501335402584442,-0.14179883934250853,0.04156603058105636,0.9287016023520991,BenchGrinder,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052858,3,404.5400834367471,0,0,0,0,0.0023906814367828525,0.033947729250761005,0.0010316379985086301,0.012524998717716122,0.9811642560387946,0.1296432615122892,-0.6386410385794499,0.9968908861423768,0.042094754491948716,0.9293201967574796,BenchGrinder,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052915,3,403.7394882084594,0,0,0,0,0.0038163203486766156,0.031718254894085064,0.0010798555414345222,0.012827256383327094,-0.961133631544108,0.9972118463283184,-0.33649974520903564,-0.4479945381529503,0.040601352932888746,0.9313751747052516,BenchGrinder,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052941,3,400.65061609271623,0,0,0,0,0.0029183399831306197,0.03363237515246557,0.0006407871256530475,0.013933700714151344,0.5096912820094103,-0.4609760824654241,-0.9962137689191554,0.724994553766724,0.04230534481391126,0.9316614416661168,BenchGrinder,0
BenchGrinder_KinFujiKBG2080_r4_MK2_20151102052958,3,401.12476760468917,0,0,0,0,0.00037246959079677934,0.033371353223037775,0.0002342676061423864,0.012674932678869127,0.22765760596300372,0.9150044445831851,0.5371373004746747,-0.9332542506376217,0.04179041470159313,0.9327084839787132,BenchGrinder,0
